timestamp,request_id,agent_success,dijkstra_success,agent_hops,dijkstra_hops,agent_latency,agent_uplink,agent_downlink,agent_reliability,agent_cpu,agent_power,dijkstra_latency,dijkstra_uplink,dijkstra_downlink,dijkstra_reliability,dijkstra_cpu,dijkstra_power
1761797077.7618828,req_8670yvg6b,True,True,1,1,2.9290809496356873,1.26,1,0.9846717774662624,9,20,2.9290809496356873,1.26,1,0.9846717774662624,9,20
1761797077.768209,req_d5649au8j,True,True,3,3,32.98424560474908,1.47,9.89,0.8562892137533121,17,34,32.98424560474908,1.47,9.89,0.8562892137533121,17,34
1761797077.770375,req_oxkwqpmt2,True,True,1,1,7.663173921463342,0.24,0.42,0.9085782524505726,4,2,7.663173921463342,0.24,0.42,0.9085782524505726,4,2
1761797077.7722461,req_j6s5t3ss9,True,True,1,1,7.344326035371994,3.62,11.8,0.9190674748624106,12,11,7.344326035371994,3.62,11.8,0.9190674748624106,12,11
1761797077.77477,req_faa55kmo5,True,True,1,1,11.783522748150801,2.03,6.42,0.7833256109413125,10,37,11.783522748150801,2.03,6.42,0.7833256109413125,10,37
1761797077.777015,req_a4yqksafs,True,True,1,1,9.103561062063832,1.3,1.23,0.7884169550942886,8,13,9.103561062063832,1.3,1.23,0.7884169550942886,8,13
1761797077.779129,req_gxrniowgj,True,True,1,1,6.579950337681214,1.91,1.15,0.8633991225306834,7,17,6.579950337681214,1.91,1.15,0.8633991225306834,7,17
1761797077.7809951,req_8n6u63jb8,True,True,1,1,11.980089165175508,0.18,0.12,0.7369146432790951,6,8,11.980089165175508,0.18,0.12,0.7369146432790951,6,8
1761797077.783102,req_a8ojqgz4x,True,True,1,1,9.657302476713637,0.47,0.3,0.8011854070991586,5,8,9.657302476713637,0.47,0.3,0.8011854070991586,5,8
1761797077.7889931,req_o9w8as9ja,True,True,2,2,47.177057042481955,1.76,9.13,0.7139609670930274,10,50,47.177057042481955,1.76,9.13,0.7139609670930274,10,50
1761797077.793165,req_pqnmfftp9,True,True,1,1,5.985594791289049,0.15,0.26,0.965140673628667,4,4,5.985594791289049,0.15,0.26,0.965140673628667,4,4
1761797077.809922,req_kigqrcirv,True,True,7,2,132.87398880578823,16.5,42.5,0.7869544143290451,46,68,43.52626441439692,16.5,42.5,0.7708508756797295,46,68
1761797077.8133771,req_kcfcblslj,True,True,1,1,12.70953173171564,0.11,0.27,0.7576428774099269,2,3,12.70953173171564,0.11,0.27,0.7576428774099269,2,3
1761797077.815659,req_bc1mkn4iz,True,True,1,1,10.91919595611662,0.29,0.29,0.8080825543780567,3,2,10.91919595611662,0.29,0.29,0.8080825543780567,3,2
1761797077.820982,req_w1ev8ubpi,True,True,2,2,17.750971455370383,3.86,11.11,0.8751676083643566,17,26,17.750971455370383,3.86,11.11,0.8751676083643566,17,26
1761797077.824605,req_ghgxiz7yi,True,True,1,1,9.972638586359189,0.19,0.3,0.8360933670085567,1,6,9.972638586359189,0.19,0.3,0.8360933670085567,1,6
